URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,8,1,13.916666666666666,11.377245508982035,10.11756487025948,13.916666666666666,38,172,1.936046511627907,8.80813953488372
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,61,31,18.155844155844157,20.88698140200286,15.617130223138808,18.155844155844157,292,813,2.238622386223862,9.23370233702337
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,40,24,18.589285714285715,28.14601344860711,18.69411966515713,18.589285714285715,293,637,2.6028257456828885,9.843014128728415
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,39,75,20.392156862745097,27.692307692307693,19.23378582202112,20.392156862745097,288,645,2.4930232558139536,9.534883720930232
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,22,8,17.394736842105264,18.15431164901664,14.219619396448763,17.394736842105264,120,389,2.151670951156812,9.151670951156813
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,89,26,20.666666666666668,23.5817575083426,17.69936967000371,20.666666666666668,424,1102,2.3747731397459164,9.621597096188747
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,23,43,15.40677966101695,19.36193619361936,13.907486341854526,15.40677966101695,176,521,2.1708253358925145,9.005758157389636
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,31,9,15.787234042553191,29.784366576819405,18.228640247749038,15.787234042553191,221,461,2.6898047722342735,10.010845986984815
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,44,50,16.357142857142858,29.912663755458514,18.507922645040548,16.357142857142858,274,605,2.5867768595041323,9.466115702479339
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,62,68,19.848101265822784,22.64030612244898,16.995362955308707,19.848101265822784,355,769,2.4304291287386217,10.663198959687906
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,65,19,20.727272727272727,25.438596491228072,18.466347687400322,20.727272727272727,348,804,2.4676616915422884,9.759950248756219
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,88,24,20.873417721518987,15.039417828987265,14.365134220202501,20.873417721518987,248,978,2.0460122699386503,9.33435582822086
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,41,13,24.458333333333332,21.29471890971039,18.30122089721749,24.458333333333332,125,309,2.394822006472492,10.25242718446602
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0,0,2.0,0.0,0.8,2.0,0,2,1.0,4.0
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,43,27,20.23728813559322,17.42043551088777,15.063089458592396,20.23728813559322,208,706,2.0736543909348444,9.135977337110482
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,43,27,20.23728813559322,17.42043551088777,15.063089458592396,20.23728813559322,208,706,2.0736543909348444,9.135977337110482
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,48,12,17.370967741935484,18.755803156917363,14.450708359541139,17.370967741935484,202,630,2.196825396825397,9.326984126984128
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,42,10,22.886363636363637,20.953326713008938,17.535876139749032,22.886363636363637,211,575,2.259130434782609,9.500869565217391
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,69,6,17.97872340425532,18.639053254437872,14.647110663477276,17.97872340425532,315,910,2.1747252747252745,9.615384615384615
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0,0,2.0,0.0,0.8,2.0,0,2,1.0,4.0
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,28,46,20.53061224489796,21.669980119284293,16.880236945672902,20.53061224489796,218,594,2.2474747474747474,9.318181818181818
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,15,10,15.576923076923077,15.308641975308642,12.354226020892689,15.576923076923077,62,202,2.089108910891089,9.806930693069306
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,42,15,21.476190476190474,13.67331855136733,14.059803611023122,21.476190476190474,185,724,2.046961325966851,9.21132596685083
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,25,3,26.8,16.23134328358209,17.212537313432836,26.8,87,300,2.1133333333333333,9.18
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,23,11,39.72,10.27190332326284,19.996761329305137,39.72,102,524,1.8645038167938932,8.715648854961833
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,29,14,21.4,16.822429906542055,15.288971962616822,21.4,144,496,2.0846774193548385,8.8125
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,39,26,25.076923076923077,11.65644171779141,14.693345917885797,25.076923076923077,152,645,1.8945736434108527,9.13953488372093
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,38,25,27.763157894736842,16.587677725118482,17.74033424794213,27.763157894736842,175,570,2.1,9.603508771929825
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,2.0,0.0,0.8,2.0,0,2,1.0,4.0
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71,37,17.772151898734176,12.606837606837606,12.151595802228712,17.772151898734176,177,724,1.951657458563536,9.172651933701658
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,73,36,20.071428571428573,19.691577698695138,15.905202508049484,20.071428571428573,332,974,2.2453798767967146,9.257700205338809
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,79,27,17.35164835164835,13.932868904369855,12.513806902407282,17.35164835164835,220,846,1.958628841607565,8.878250591016549
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,65,25,22.092105263157894,15.247170935080407,14.935710479295322,22.092105263157894,256,897,2.100334448160535,9.282051282051283
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,55,23,22.272727272727273,14.612244897959185,14.753988868274584,22.272727272727273,179,637,2.0580847723704867,9.436420722135008
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,28,12,16.318181818181817,15.041782729805014,12.543985819194733,16.318181818181817,108,386,2.064766839378238,9.233160621761659
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,2.0,0.0,0.8,2.0,0,2,1.0,4.0
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,13,20.085714285714285,11.379800853485063,12.586206055679739,20.085714285714285,80,368,1.875,8.910326086956522
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,80,41,26.675,14.995313964386128,16.66812558575445,26.675,320,1136,2.0713028169014085,9.040492957746478
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,56,63,20.511111111111113,15.222101841820152,14.293285181172507,20.511111111111113,281,1031,2.035887487875849,8.913676042677013
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,45,22,20.43859649122807,18.798283261802577,15.69475190121226,20.43859649122807,219,665,2.1969924812030075,9.40751879699248
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42,29,15.0375,15.378221113881963,12.166288445552787,15.0375,185,700,1.9842857142857142,8.44
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,68,24,27.05,12.446087492298213,15.798434996919287,27.05,202,788,2.067258883248731,9.722081218274111
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0,0,2.0,0.0,0.8,2.0,0,2,1.0,4.0
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,23.333333333333332,18.571428571428573,16.761904761904763,23.333333333333332,91,288,2.1666666666666665,9.069444444444445
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,103,39,226.5,12.362030905077264,95.54481236203091,226.5,224,890,1.9764044943820225,9.495505617977528
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,27,0,16.444444444444443,17.83783783783784,13.712912912912913,16.444444444444443,132,409,2.1026894865525674,9.117359413202934
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,17.475,22.603719599427755,16.031487839771103,17.475,158,398,2.2939698492462313,9.419597989949748
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,3,27.666666666666668,19.879518072289155,19.01847389558233,27.666666666666668,33,97,2.1443298969072164,8.896907216494846
